"X.U.FEFF.Comment","text_tokens","V3"
"27 de 01 2021 hora 3 pm gracias"," ","27 de 01 2021 hora 3 pm gracia"
"Manuel Herrera Te hemos respondido vía inbox."," ","manuel herrero te haber responder vía inbox ."
"Buenas tardes nesecito una cita en la agencia Metrocentro san Salvador"," ","bueno tardar nesecito unir citar en el agenciar metrocentro santo salvador"
"Laura Alvarez Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","laura alvarez hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Buenos días quería hacer una cita para visitar la agencia de plaza mundo"," ","bueno día querer hacer unir citar parar visitar el agenciar de plaza mundo"
"Mirna Evelyn Cortez Majano Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","mirna evelyn cortez majano hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"AFP Crecer ya lo hice pero hasta marzo se tardan tanto tiempo?"," ","afp crecer ya el hacer pero hasta marzo se tardar tanto tiempo ?"
"Mirna Evelyn Cortez Majano Hola, te comentamos que la demanda de citas es grande, pero también puedes realizar tus consultas a través de nuestras redes sociales.Saludos. "," ","mirna evelyn cortez majano hola , te comentar que el demandar de cita ser grande , pero también poder realizar tu consulta a través de nuestro red sociales.saludos ."
"Quiero solicitar lo del anticipo ya consulté al correo por q no me deja entrar.dice q ya estoy registrada pero luego dice q correo y contraseña invalida"," ","querer solicitar el del anticipar ya consultar al correar por q no me dejar entrar.dice q ya estar registrar pero luego decir q correar y contraseña invalidar"
"Mirna Evelyn Cortez Majano Te hemos respondido vía inbox."," ","mirna evelyn cortez majano te haber responder vía inbox ."
"Necesito me ayuden por q no me grava la información  de la fecha y hora para hacer la cita necesito visitar"," ","necesitar me ayudar por q no me gravar el información de el fechar y hora parar hacer el citar necesitar visitar"
"Mirna Evelyn Cortez Majano Hola, debe seleccionar fecha y hora disponible para poder agendar cita.Saludos. "," ","mirna evelyn cortez majano hola , deber seleccionar fechar y hora disponible parar poder agendar cita.saludos ."
"Hola! Mi nombre es Tomasa del Carmen Moreira, Necesito cita en INPEP SECCIÓN Historial Laboral. Gracias!"," ","hola ! mi nombrar ser tomasa del carmen moreira , necesitar citar en inpep sección historial laboral . gracia !"
"Carmen Moreira Hola, puede solicitar su cita por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","carmen moreira hola , poder solicitar su citar por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"Buenas tardes nesesito saber si ya aparese mi nombre completo   ya k use solisitud de cambio de información"," ","bueno tardar nesesito saber si ya aparese mi nombrar completar ya k usar solisitud de cambiar de información"
"Roberto Flores Te hemos respondido vía inbox."," ","roberto flor te haber responder vía inbox ."
"AFP Crecer "," ","afp crecer"
"AFP Crecer "," ","afp crecer"
"Buenos días"," ","bueno día"
"Roberto Flores Hola, te hemos respondido vía inbox. "," ","roberto flor hola , te haber responder vía inbox ."
"Necesito que me ayuden a verificar si estoy inscrito con ustedes por favor."," ","necesitar que me ayudar a verificar si estar inscribir con vosotros por favor ."
"Dalila Rosa Te hemos respondido vía inbox."," ","dalila rosa te haber responder vía inbox ."
"Como puedo hacer para tener cita para devolución que me dan cada año la agencia De Manuel Enrique Araujo gracias"," ","comer poder hacer parar tener citar parar devolución que me dar cada año el agenciar de manuel enrique araujo gracia"
"Agustín Quiterio Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","agustín quiterio hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Necesito presentar una carta de Beneficiario! y Necesito llevar a mi abuela cómo beneficiario ha realizar su trámite! Pero no me da fechas el sistema! ? "," ","necesitar presentar unir carta de beneficiario ! y necesitar llevar a mi abuelo cómo beneficiario haber realizar su trámite ! pero no me dar fecha el sistema ! ?"
"Karlivn Meléndez Hola,  puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","karlivn meléndez hola , poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"Ya probé todo enero, febrero y hasta marzo, dice no hay cupos. No atienden ningún teléfono, ya mandé 5 veces mi reporte de supervivencia, y no me han abonado. Que hago por favor"," ","ya probar todo enero , febrero y hasta marzo , decir no haber cupo . no atender ninguno teléfono , ya mandar 5 vez mi reportar de supervivencia , y no me haber abonar . que hacer por favor"
"Cecilia Oliva Mar Te hemos respondido vía inbox."," ","cecilia olivar mar te haber responder vía inbox ."
"Hola"," ","hola"
"Número para ver estado cuenta"," ","número parar ver estar contar"
"Lizeth Ramirez Hola, te comentamos que puedes solicitar tu estado de cuenta por diferentes vías: "," ","lizeth ramirez hola , te comentar que poder solicitar tu estar de contar por diferente vía :"
"info"," ","info"
"Martika de Leon<U+FEFF> Hola, gracias por ponerte en contacto con nosotros.¿Cómo podemos ayudarte?"," ","martika de leon hola , gracia por ponerte en contactar con nosotros . ¿ cómo podar ayudarte ?"
"Que ruta de bus pasa por ahi"," ","que ruta de bus pasar por ahi"
"Msrlene Rivas<U+FEFF> Te hemos respondido vía inbox."," ","msrlene rivas te haber responder vía inbox ."
"Porque tienen que restringir nuestro dinero ,es nuestro debemos poder retirarlo cuando queramos no importa la edad"," ","porque tener que restringir nuestro dinero , ser nuestro deber poder retirarlo cuando querer no importar el edad"
"Rene Trigueros Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","rene triguero hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Hola me pueden mandar el numero de teléfono que puedo marcarle gracias "," ","hola me poder mandar el numerar de teléfono que poder marcarle gracia"
"Jaime Wilberto Ramos Hola, puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","jaime wilberto ramo hola , poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"Estamos a la espera de la norma o reglamento que enviará el banco Central de reserva para poder jubilarse. Dijeron que en 10 días cuando se consultó a, finales de noviembre 2020 y ya estamos en enero 2021 y nada?????"," ","estar a el esperar de el norma o reglamentar que enviar el banco central de reservar parar poder jubilarse . decir que en 10 día cuando se consultar a , final de noviembre 2020 y ya estar en enero 2021 y nadar ? ? ? ? ?"
"Ana Zepeda Hola, comentarte que seguimos a la espera que BCR emita normativa para proceder con este tipo de casos.Saludos. "," ","ana zepeda hola , comentarte que seguir a el esperar que bcr emitir normativo parar proceder con este tipo de casos.saludos ."
"Mande mi solicitud de anticipo de dinero en la aplicación cuanto tiempo tengo q esperar para q me resuelvan"," ","mandar mi solicitud de anticipar de dinero en el aplicación cuanto tiempo tener q esperar parar q me resolver"
"En 15 días se lo dan"," ","en 15 día se el dar"
"Eli Valezca Lazo Ramirez Hola, te comentamos que al estar aprobada tu solicitud el tiempo de desembolso es de 1 mes máximo, como lo establece el BCR.Saludos. "," ","eli valezca lazar ramirez hola , te comentar que al estar aprobar tu solicitud el tiempo de desembolsar ser de 1 mes máximo , comer el establecer el bcr.saludos ."
"Ni contesta en whatsapp cuando uno pide información para pedir cita"," ","ni contestar en whatsapp cuando unir pedir información parar pedir citar"
"Nuria Miranda Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","nuria miranda hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"AFP Crecer no se puede "," ","afp crecer no se poder"
"Nuria Miranda Hola, debe seleccionar una fecha con horarios disponibles. También puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","nuria miranda hola , deber seleccionar unir fechar con horario disponible . también poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"AFP Crecer xq no contestan quiero hacer una consulta "," ","afp crecer xq no contestar querer hacer unir consultar"
"Jame GV Hola, gracias por ponerte en contacto con nosotros."," ","jamar gv hola , gracia por ponerte en contactar con nosotros ."
"AFP Crecer necesito una cita para poner de  beneficiario a mi hijo y a mi mamá "," ","afp crecer necesitar unir citar parar poner de beneficiario a mi hijo y a mi mamá"
"Nuria Miranda Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","nuria miranda hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"He intentado en varias ocasiones crear mi cuenta para ingresar a la app y siempre dice que la contraseña no cumple con los standards. No sé que esperan para que la contraseña sea aceptada"," ","haber intentar en vario ocasión crear mi contar parar ingresar a el app y siempre decir que el contraseña no cumplir con el standard . no saber que esperar parar que el contraseña ser aceptar"
"Claudia Melara una letra mayúscula, numeros y un símbolo. Como mínimo 8 caracteres."," ","claudia melar unir letra mayúsculo , numeros y uno símbolo . comer mínimo 8 carácter ."
"Clara Hernandez oki"," ","claro hernandez oki"
"Yo desde el mes pasado quiero actualizar datos y no e podido"," ","yo desde el mes pasar querer actualizar dato y no e poder"
"Jose Angel Ascencio Perez Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","jose angel ascencio perez hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Buenos díasPor correo mande lo q me pidieron y aún no contestan"," ","bueno díaspor correar mandar el q me pedir y aun no contestar"
"Jose Angel Ascencio Perez Te hemos respondido vía inbox."," ","jose angel ascencio perez te haber responder vía inbox ."
"Como puede saber el correo que tengo regustrado y si lo puedo cambiar"," ","comer poder saber el correar que tener regustrado y si el poder cambiar"
"Nila Argueta Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","nila argueta hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
